Site,Probe Model,Serial Number,Date,Time,Hole ID,Cable length (ft),Neutron Count (MD),Gamma Count (WD),Operator,Duration (s),Flag
Rivendell,503,H340702152,10/10/2010,,14,65,4178,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,66,3911,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,67,4021,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,68,4099,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,69,4078,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,70,3770,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,71,3885,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,72,3841,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,73,3860,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,74,3961,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,75,3899,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,76,3819,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,77,3793,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,78,3812,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,79,3875,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,80,3748,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,81,3526,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,82,3620,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,83,3778,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,84,3754,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,85,3754,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,86,3866,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,87,3728,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,88,3681,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,89,3757,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,90,14286,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,91,14147,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,4,2919,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,5,3081,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,6,3085,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,7,3546,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,8,3733,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,9,3555,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,10,3603,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,11,3733,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,12,4021,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,13,4031,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,14,4058,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,15,3921,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,16,3902,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,17,3771,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,18,3454,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,19,3809,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,20,4046,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,21,4110,,2,25,4
